,CUDI_REPRO,CULT_REPRO,CUNO_REPRO,GRLT,GRWD,GRWT100,HDG_80HEAD,LIGLT,LLT,LWD,PLT_POST,SDHT,country,region,subespecie
IRIS_313.10974,4.0,117.0,15.0,8.1,3.1,2.4,104.0,29.0,56.0,1.3,29.0,34.0,Bangladesh,SAS,IND
IRIS_313.10925,4.0,113.0,11.0,8.8,2.9,2.2,76.0,15.0,60.0,1.5,24.0,36.0,Nepal,SAS,AUS
IRIS_313.11169,4.0,97.0,14.0,7.6,3.6,1.9,83.0,26.0,64.0,1.3,28.0,46.0,India,SAS,AUS
IRIS_313.11934,5.3,112.0,9.0,9.6,3.3,3.1,97.0,13.0,53.0,1.4,25.0,31.0,Philippines,SEA,IND
IRIS_313.11888,6.0,116.0,16.0,10.6,2.9,2.7,80.0,17.0,53.0,1.4,24.0,50.0,Pakistan,SAS,AUS
IRIS_313.11477,4.0,88.0,12.0,9.1,2.8,1.6,78.0,21.0,60.0,1.1,25.0,45.0,India,SAS,AUS
IRIS_313.9249,5.0,136.0,11.0,9.9,3.1,2.9,112.0,21.0,58.0,1.7,28.0,38.0,Cambodia,SEA,JAP
IRIS_313.11623,4.5,91.0,8.0,8.7,3.7,3.3,77.0,17.0,40.6,1.5,24.0,39.0,China,EAS,JAP
IRIS_313.11458,4.0,86.0,23.0,8.2,3.2,2.2,72.0,18.0,50.0,1.1,20.0,44.0,India,SAS,AUS
IRIS_313.11963,5.0,89.0,30.0,7.9,3.0,2.3,86.0,13.0,53.0,1.0,19.0,54.0,India,SAS,AUS
IRIS_313.9461,6.0,140.0,25.0,9.2,2.7,2.2,119.0,33.0,79.0,1.5,30.0,36.0,Senegal,AFR,IND
IRIS_313.11827,5.0,139.0,15.0,9.1,2.6,1.5,116.0,21.0,74.0,1.6,25.0,49.0,India,SAS,IND
IRIS_313.11204,6.3,136.0,17.0,7.7,2.8,2.2,118.0,30.0,61.0,1.4,29.0,62.0,Bangladesh,SAS,IND
IRIS_313.11414,4.0,104.0,16.0,8.8,2.8,2.2,80.0,15.0,47.0,1.2,24.0,33.0,India,SAS,IND
IRIS_313.10718,3.0,113.0,17.0,7.3,2.9,2.2,77.0,22.0,51.0,1.2,22.0,36.0,Sri_Lanka,SAS,AUS
IRIS_313.10963,4.0,121.0,17.0,8.5,2.7,2.4,65.0,16.0,65.0,1.2,23.0,21.0,Bangladesh,SAS,AUS
IRIS_313.11463,4.0,108.0,12.0,9.0,3.2,2.6,78.0,21.0,55.0,1.4,22.0,64.0,Philippines,SEA,IND
IRIS_313.11779,6.0,133.0,19.0,9.2,3.0,2.4,139.0,20.0,61.0,1.5,30.0,45.0,Tanzania,AFR,IND
IRIS_313.8285,5.3,69.0,17.0,9.1,2.3,1.8,102.0,9.0,43.0,1.2,24.0,51.0,United_States,AME,JAP
IRIS_313.12287,6.9,120.0,22.0,9.7,2.7,2.6,129.0,18.0,56.0,1.2,27.0,38.0,Myanmar,SEA,IND
IRIS_313.11040,5.0,141.0,19.0,8.9,3.1,2.4,156.0,20.0,56.0,1.2,27.0,32.0,India,SAS,IND
IRIS_313.10575,6.0,129.0,20.0,8.6,3.9,2.3,118.0,17.0,66.0,1.4,31.0,35.0,Myanmar,SEA,IND
IRIS_313.11117,5.0,115.0,9.0,8.4,2.9,2.0,85.0,15.0,59.0,2.0,24.0,33.0,Indonesia,SEA,JAP
IRIS_313.11205,5.0,148.0,13.0,8.9,3.2,3.0,146.0,22.0,73.0,1.4,29.0,61.0,Bangladesh,SAS,IND
IRIS_313.11867,4.3,96.0,29.0,8.4,2.7,2.1,86.0,15.0,42.0,1.2,24.0,65.0,China,EAS,IND
IRIS_313.11319,5.0,129.0,14.0,8.7,2.9,2.0,134.0,21.0,56.0,1.6,28.0,46.0,Indonesia,SEA,IND
IRIS_313.8439,4.0,117.0,12.0,9.0,3.2,3.3,106.0,24.0,54.0,1.5,29.0,40.0,Malaysia,SEA,JAP
IRIS_313.10778,7.1,135.0,17.0,7.9,2.8,2.0,133.0,22.0,66.8,1.6,21.2,43.0,Indonesia,SEA,IND
IRIS_313.11090,5.0,149.0,11.0,10.3,3.5,3.3,112.0,24.0,73.0,1.9,25.0,47.0,Laos,SEA,IND
IRIS_313.10779,4.0,157.0,18.0,9.5,2.3,2.3,115.0,19.0,57.0,1.7,27.0,25.0,Indonesia,SEA,IND
IRIS_313.8687,5.0,123.0,13.0,8.1,3.6,2.9,96.0,14.0,51.0,1.4,19.0,23.0,Guinea-Bissau,AFR,JAP
IRIS_313.9329,5.0,145.0,16.0,8.6,2.7,2.4,123.0,24.0,73.0,1.8,27.0,20.0,Indonesia,SEA,IND
IRIS_313.9301,6.0,123.0,15.0,9.7,3.1,3.4,116.0,17.0,60.0,1.9,26.0,36.0,Indonesia,SEA,JAP
IRIS_313.10936,5.0,135.0,14.0,9.9,2.8,2.3,115.0,18.0,69.0,1.6,34.0,17.0,Indonesia,SEA,JAP
IRIS_313.8831,5.0,126.0,17.0,8.0,2.9,2.2,124.0,23.0,71.0,2.0,24.0,37.0,Indonesia,SEA,IND
